t,realized_volatility
2005-01-04,0.008784160612573925
2005-01-05,0.007669352436509412
2005-01-06,0.0055777179371119
2005-01-07,0.007185968544704213
2005-01-10,0.005694199932380179
2005-01-11,0.005335384255333279
2005-01-12,0.005050576690116713
2005-01-13,0.00482150553877781
2005-01-14,0.0060778362611763805
2005-01-17,0.01568417853847672
2005-01-18,0.006701483808031933
2005-01-19,0.005404278325025943
2005-01-20,0.009842715943782516
2005-01-21,0.012014416515362057
2005-01-24,0.024150038173591556
2005-01-25,0.009401407861799526
2005-01-26,0.005996754707712429
2005-01-27,0.007278783117879161
2005-01-28,0.006568338874314781
2005-01-31,0.008013032596697656
2005-02-01,0.0061032528654490475
2005-02-02,0.01035908106836308
2005-02-03,0.013312609121501189
2005-02-04,0.008748668761258105
2005-02-16,0.009832282156620136
2005-02-17,0.0073249526429583515
2005-02-18,0.0063138536196151295
2005-02-21,0.007349843669258142
2005-02-22,0.0074500439327653285
2005-02-23,0.009152217227916055
2005-02-24,0.007077445560875198
2005-02-25,0.006450622410498617
2005-02-28,0.00588614866541572
2005-03-01,0.006184681164631117
2005-03-02,0.007445445762340481
2005-03-03,0.00568833509957502
2005-03-04,0.005530512624478092
2005-03-07,0.005881217850635899
2005-03-08,0.0074379882246485484
2005-03-09,0.006708014842460376
2005-03-10,0.00662901955345097
2005-03-11,0.005441163136956215
2005-03-14,0.008861431540266548
2005-03-15,0.007206882436662548
2005-03-16,0.008111479293566284
2005-03-17,0.007045121812908241
2005-03-18,0.007978077013102937
2005-03-21,0.006712637192586951
2005-03-22,0.007882171298016211
2005-03-23,0.009222985168918937
2005-03-24,0.009893675218323057
2005-03-25,0.007135745094351702
2005-03-28,0.006592815486092824
2005-03-29,0.0065883028810047525
2005-03-30,0.00920306099471194
2005-03-31,0.009138900094459907
2005-04-01,0.013303854637854896
2005-04-04,0.019735484602845337
2005-04-05,0.007575094906504844
2005-04-06,0.009958220271309545
2005-04-07,0.012071740995848202
2005-04-08,0.00876539169097614
2005-04-11,0.00969497307340469
2005-04-12,0.008331120615865028
2005-04-13,0.023872919466128278
2005-04-14,0.00967781391059839
2005-04-15,0.011624425137342681
2005-04-18,0.00886689633693833
2005-04-19,0.007133286331103165
2005-04-20,0.007214359016051989
2005-04-21,0.009611042102622378
2005-04-22,0.00820184608021921
2005-04-25,0.009163712477604408
2005-04-26,0.00861613957564107
2005-04-27,0.008781115709168997
2005-04-28,0.011292936320441902
2005-04-29,0.007831654278557003
2005-05-09,0.011366631839307514
2005-05-10,0.00979027358165446
2005-05-11,0.008258226514475742
2005-05-12,0.008997500782254385
2005-05-13,0.010585761018458217
2005-05-16,0.009385965943471816
2005-05-17,0.010689667926864882
2005-05-18,0.010076160727145168
2005-05-19,0.009392687201198811
2005-05-20,0.008482735117004975
2005-05-23,0.011756278921761657
2005-05-24,0.012733061446316299
2005-05-25,0.008751554989796372
2005-05-26,0.008508801632156894
2005-05-27,0.011436867580736332
2005-05-30,0.009624738313450742
2005-05-31,0.007641739628540079
2005-06-01,0.009079031251146933
2005-06-02,0.011164836931527398
2005-06-03,0.011760945161138837
2005-06-06,0.011856070939815163
2005-06-07,0.012204408230086825
2005-06-08,0.02496666851130596
2005-06-09,0.015952113636088134
2005-06-10,0.011536027908219759
2005-06-13,0.014660423563102423
2005-06-14,0.010394455241873685
2005-06-15,0.009932968475433363
2005-06-16,0.008821707948779171
2005-06-17,0.011904836031754745
2005-06-20,0.00954440113682776
2005-06-21,0.007795392505576142
2005-06-22,0.007286699729996432
2005-06-23,0.005632704033289789
2005-06-24,0.005866978727713538
2005-06-27,0.01269186666661981
2005-06-28,0.009320185170688972
2005-06-29,0.008825979489681378
2005-06-30,0.007989791081181181
2005-07-01,0.009137710528249125
2005-07-04,0.01002973673269212
2005-07-05,0.009396127943364183
2005-07-06,0.007957158360442014
2005-07-07,0.007414252405434104
2005-07-08,0.007767540202353474
2005-07-11,0.02095345651460941
2005-07-12,0.015434490177574086
2005-07-13,0.011393653923468439
2005-07-14,0.010712426567692007
2005-07-15,0.007173658779616939
2005-07-18,0.007692147002769004
2005-07-19,0.00796271994002457
2005-07-20,0.007511681209487599
2005-07-21,0.006943863526631788
2005-07-22,0.013554631436093423
2005-07-25,0.007551314876039326
2005-07-26,0.007736501195736178
2005-07-27,0.006426948039273988
2005-07-28,0.0068342349546597625
2005-07-29,0.006656469025264387
2005-08-01,0.006293050032057887
2005-08-02,0.006239212676261277
2005-08-03,0.006441427501084402
2005-08-04,0.007444373131981524
2005-08-05,0.0074198467899387185
2005-08-08,0.00680824741634924
2005-08-09,0.005432813942597299
2005-08-10,0.0060645667176516945
2005-08-11,0.006346704213162505
2005-08-12,0.007404351182638476
2005-08-15,0.012379020748048367
2005-08-16,0.006783310101829153
2005-08-17,0.007756068331792716
2005-08-18,0.013170366426759601
2005-08-19,0.009513240926043708
2005-08-22,0.009972106141645872
2005-08-23,0.008691068622725867
2005-08-24,0.008416541024499792
2005-08-25,0.0070591076363920365
2005-08-26,0.005565723410869804
2005-08-29,0.0071747251082574836
2005-08-30,0.007712554602598979
2005-08-31,0.0063072481183913875
2005-09-01,0.006569785427603224
2005-09-02,0.006051036127059373
2005-09-05,0.00547213515552976
2005-09-06,0.0062483548121821325
2005-09-07,0.006696563851502243
2005-09-08,0.007444167707208619
2005-09-09,0.006845985192291052
2005-09-12,0.005828663143269568
2005-09-13,0.0053164870225107875
2005-09-14,0.006351241615401356
2005-09-15,0.004844536056166503
2005-09-16,0.004434188920845268
2005-09-19,0.004727508034175421
